ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Latitude,Longitude,mobile_money_classification
5423,49,2,1,6,1,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,1,1,3,1,-1,1,2,-8.10392399,35.90298106,3
7314,18,2,4,6,3,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-5.93419917,37.27861485,0
4320,17,2,1,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-4.66318522,38.47105336,1
7625,37,2,1,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,-1,1,5,2,-1,2,-1,1,-1,4,4,-7.9553592,36.86350794,1
9183,30,2,2,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,5,-1,1,4,-5.01677739,32.81008163,2
6549,34,2,4,5,5,2,1,0,1,0,0,0,0,0,0,1,0,0,-1,6,-1,1,4,1,1,1,1,1,2,-5.71437916,34.49639961,3
6407,34,2,1,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,1,3,4,4,1,4,-3.66771928,35.60286113,3
8253,27,2,1,3,5,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,5,-1,2,-1,1,3,1,-1,4,4,-10.90432878,38.29934217,1
6512,32,2,1,6,5,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,1,4,1,-1,1,1,-6.09075857,39.42351458,3
1277,46,1,1,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,5,1,-1,1,4,-9.47892487,34.64912616,2
6063,30,2,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-8.53949832,32.94378634,1
435,22,1,4,6,5,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,3,-1,1,1,-2.49070105,32.91195183,2
275,19,2,1,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,1,-2.50201994,32.88840014,3
476,56,1,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,-1,-1,2,-1,2,-1,5,-1,1,4,-7.95438628,31.60717072,2
5038,30,2,2,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,5,-1,2,-1,2,-1,1,1,1,4,-1.32450473,31.79135293,3
2571,34,2,1,6,5,1,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-2.61111805,32.0713764,2
6745,65,2,3,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,2,4,-1.94133597,32.86262421,1
924,37,2,1,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,1,1,1,3,1,-1,1,1,-3.36617239,36.72777378,3
1349,37,1,1,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-2.63584851,33.97198602,1
4026,21,1,4,2,5,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-9.91048818,38.99503266,1
2134,51,2,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,1,-1,4,4,-2.4168124,32.93534714,2
4273,40,2,3,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,5,2,-1,1,-1,1,1,-3.07690159,32.08707783,1
2823,49,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,4,-1,1,4,2,-1,1,-1,4,4,-7.67989156,31.56268005,2
2490,21,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-3.04238182,31.37791754,1
3557,37,2,1,6,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,1,3,1,3,1,-1,1,1,-7.75297006,35.482496999999995,3
5903,32,2,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,2,-1,2,-1,1,-1,1,4,-10.95110666,39.0267843,1
2398,45,2,1,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,2,5,-1,4,5,-7.75079037,35.86439729,3
5192,53,2,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,2,-1,2,-1,1,1,1,1,-6.165908900000001,39.193836,3
4425,35,1,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-9.24699178,34.77572879,1
6108,44,2,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-3.23987833,33.44781657,0
3357,29,1,1,7,4,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1,1,2,1,3,1,-1,1,1,-3.3588975,36.66105838,3
9326,31,1,4,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,2,1,4,4,-1,1,4,-7.90920137,39.67030057,3
8843,90,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-1.69931029,34.28957728,0
2179,22,2,1,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-7.99477806,31.79426112,1
5906,30,2,1,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,-1,1,5,2,-1,1,2,4,-1,4,4,-4.88898332,29.74064178,3
3428,58,1,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,2,-1,2,-1,1,1,1,4,-4.2930792,35.55113999,1
1897,16,2,4,5,3,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,2,-5.24635037,39.78140972,0
1684,28,1,4,7,3,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,6,1,2,1,-1,1,1,-2.52894976,32.96296817,3
4923,38,1,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,2,-1,1,4,1,4,5,-1,1,2,-4.8309237000000005,32.88196355,3
