PeriodEnd,PeriodStart,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-12-31T01:00:00Z,2019-12-31T00:30:00Z,PT30M,16.8,0.07,31,0.0,4.1,0,0,0,0,0,0,5.4,43.1,985.6,70,0.7,169
2019-12-31T01:30:00Z,2019-12-31T01:00:00Z,PT30M,16.7,0.07,-6,0.0,4.1,0,0,0,0,0,0,5.4,43.1,985.3,40,0.7,170
2019-12-31T02:00:00Z,2019-12-31T01:30:00Z,PT30M,16.6,0.07,-40,0.0,4.2,0,0,0,0,0,0,5.4,43.6,985.1,24,0.8,168
2019-12-31T02:30:00Z,2019-12-31T02:00:00Z,PT30M,16.5,0.07,-60,0.0,4.4,0,0,0,0,0,0,5.4,44.8,984.9,17,0.8,163
2019-12-31T03:00:00Z,2019-12-31T02:30:00Z,PT30M,16.3,0.07,-71,0.0,4.9,0,0,0,0,0,0,5.5,46.8,984.7,16,0.7,157
2019-12-31T03:30:00Z,2019-12-31T03:00:00Z,PT30M,16.2,0.07,-79,0.0,5.3,0,0,0,0,0,0,5.6,48.4,984.6,14,0.6,151
2019-12-31T04:00:00Z,2019-12-31T03:30:00Z,PT30M,16.0,0.07,-84,0.0,5.5,0,0,0,0,0,0,5.7,49.6,984.8,11,0.6,145
2019-12-31T04:30:00Z,2019-12-31T04:00:00Z,PT30M,15.9,0.07,-89,0.0,5.8,0,0,0,0,0,0,5.8,50.9,984.8,6,0.5,139
2019-12-31T05:00:00Z,2019-12-31T04:30:00Z,PT30M,15.8,0.07,-93,0.0,6.0,0,0,0,0,0,0,5.9,52.3,984.8,1,0.5,132
2019-12-31T05:30:00Z,2019-12-31T05:00:00Z,PT30M,15.7,0.07,-96,0.0,6.0,0,0,0,0,0,0,5.9,52.3,984.7,38,0.4,126
2019-12-31T06:00:00Z,2019-12-31T05:30:00Z,PT30M,15.8,0.07,-100,0.0,5.7,0,0,0,0,0,0,6.0,50.8,984.7,109,0.7,120
2019-12-31T06:30:00Z,2019-12-31T06:00:00Z,PT30M,15.8,0.07,-103,2.9,5.7,0,0,0,0,0,0,6.0,51.1,984.6,125,1.1,113
2019-12-31T07:00:00Z,2019-12-31T06:30:00Z,PT30M,15.6,0.07,-107,19.7,6.1,0,0,0,0,0,0,6.1,53.2,984.6,137,1.1,107
2019-12-31T07:30:00Z,2019-12-31T07:00:00Z,PT30M,15.5,0.07,-110,24.4,6.3,0,0,0,0,0,0,6.2,54.3,984.6,135,1.1,101
2019-12-31T08:00:00Z,2019-12-31T07:30:00Z,PT30M,15.4,0.07,-114,4.4,6.3,0,0,0,0,0,0,6.3,54.4,984.6,117,1.0,96
2019-12-31T08:30:00Z,2019-12-31T08:00:00Z,PT30M,15.5,0.07,-118,1.5,6.4,6,17,1,8,13,6,6.4,54.7,984.8,105,1.1,90
2019-12-31T09:00:00Z,2019-12-31T08:30:00Z,PT30M,15.7,0.07,-122,17.0,6.8,50,66,8,58,78,49,6.4,55.2,985.0,100,1.3,84
2019-12-31T09:30:00Z,2019-12-31T09:00:00Z,PT30M,16.2,0.07,-127,14.4,7.2,89,269,52,141,234,144,6.5,55.4,985.3,107,1.3,79
2019-12-31T10:00:00Z,2019-12-31T09:30:00Z,PT30M,16.8,0.07,-132,9.3,7.8,106,475,129,235,403,370,6.6,55.4,985.7,124,1.2,74
2019-12-31T10:30:00Z,2019-12-31T10:00:00Z,PT30M,17.3,0.07,-137,8.4,8.6,123,565,197,319,525,564,6.8,56.6,986.0,140,1.2,70
2019-12-31T11:00:00Z,2019-12-31T10:30:00Z,PT30M,17.6,0.07,-143,3.0,9.6,99,767,315,414,688,657,6.9,59.3,986.2,155,1.2,66
2019-12-31T11:30:00Z,2019-12-31T11:00:00Z,PT30M,17.9,0.07,-150,2.3,10.2,101,817,380,481,780,649,7.0,60.9,986.3,174,1.1,62
2019-12-31T12:00:00Z,2019-12-31T11:30:00Z,PT30M,18.2,0.07,-157,0.0,10.6,82,915,463,545,876,649,7.1,61.2,986.2,201,1.1,60
2019-12-31T12:30:00Z,2019-12-31T12:00:00Z,PT30M,18.4,0.07,-165,0.2,11.1,86,922,495,581,921,628,7.3,62.4,986.1,215,1.1,58
2019-12-31T13:00:00Z,2019-12-31T12:30:00Z,PT30M,18.4,0.07,-173,4.9,11.6,147,768,426,573,874,583,7.7,64.5,985.8,220,1.0,56
2019-12-31T13:30:00Z,2019-12-31T13:00:00Z,PT30M,18.3,0.07,179,11.9,12.0,225,553,310,534,765,535,8.1,66.5,985.4,212,1.1,56
2019-12-31T14:00:00Z,2019-12-31T13:30:00Z,PT30M,18.3,0.07,171,15.9,12.3,260,435,240,500,685,511,8.6,68.4,984.8,198,1.5,57
2019-12-31T14:30:00Z,2019-12-31T14:00:00Z,PT30M,18.1,0.07,163,15.2,12.6,246,441,234,480,665,514,9.0,70.1,984.5,187,1.8,58
2019-12-31T15:00:00Z,2019-12-31T14:30:00Z,PT30M,18.0,0.07,155,21.0,12.8,270,284,142,412,526,456,9.4,71.7,984.3,178,2.1,60
2019-12-31T15:30:00Z,2019-12-31T15:00:00Z,PT30M,17.8,0.07,148,21.6,13.0,255,233,105,360,452,426,9.9,73.5,984.2,172,2.4,63
2019-12-31T16:00:00Z,2019-12-31T15:30:00Z,PT30M,17.5,0.07,141,27.0,13.2,242,101,41,283,315,323,10.4,75.8,984.4,168,2.5,67
2019-12-31T16:30:00Z,2019-12-31T16:00:00Z,PT30M,17.3,0.07,136,31.0,13.3,208,7,2,210,201,212,10.8,77.8,984.6,165,2.6,71
