PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2020-07-30T01:00:00Z,2020-07-30T00:30:00Z,PT30M,17.6,9,40.6,14.9,0,0,0,0,0,0,15.0,84.3,0.0,974.4,57,4.0,128,0.06
2020-07-30T01:30:00Z,2020-07-30T01:00:00Z,PT30M,17.5,0,55.6,14.9,0,0,0,0,0,0,15.3,84.4,0.0,974.1,61,3.7,128,0.06
2020-07-30T02:00:00Z,2020-07-30T01:30:00Z,PT30M,17.5,-9,53.9,14.8,0,0,0,0,0,0,15.4,84.2,0.0,974.0,67,3.2,128,0.06
2020-07-30T02:30:00Z,2020-07-30T02:00:00Z,PT30M,17.4,-18,58.2,14.7,0,0,0,0,0,0,15.4,83.9,0.0,973.9,70,2.8,127,0.06
2020-07-30T03:00:00Z,2020-07-30T02:30:00Z,PT30M,17.4,-26,35.1,14.5,0,0,0,0,0,0,15.4,83.4,0.0,973.8,67,2.5,124,0.06
2020-07-30T03:30:00Z,2020-07-30T03:00:00Z,PT30M,17.3,-34,26.7,14.4,0,0,0,0,0,0,15.2,83.2,0.0,973.8,63,2.2,121,0.06
2020-07-30T04:00:00Z,2020-07-30T03:30:00Z,PT30M,17.1,-40,18.1,14.2,0,0,0,0,0,0,15.1,83.3,0.0,973.8,60,2.0,117,0.06
2020-07-30T04:30:00Z,2020-07-30T04:00:00Z,PT30M,17.0,-47,33.1,14.1,0,0,0,0,0,0,15.0,83.4,0.0,973.7,54,2.0,113,0.06
2020-07-30T05:00:00Z,2020-07-30T04:30:00Z,PT30M,16.8,-52,47.9,14.1,0,0,0,0,0,0,14.9,83.6,0.0,973.5,47,2.0,108,0.06
2020-07-30T05:30:00Z,2020-07-30T05:00:00Z,PT30M,16.8,-57,38.7,14.0,0,0,0,0,0,0,14.6,83.4,0.0,973.5,47,2.1,103,0.06
2020-07-30T06:00:00Z,2020-07-30T05:30:00Z,PT30M,16.9,-62,36.4,13.9,0,0,0,0,0,0,14.1,82.6,0.0,973.6,53,2.1,98,0.06
2020-07-30T06:30:00Z,2020-07-30T06:00:00Z,PT30M,16.9,-66,44.6,13.9,2,0,0,2,2,2,14.0,82.3,0.0,973.6,56,2.1,92,0.06
2020-07-30T07:00:00Z,2020-07-30T06:30:00Z,PT30M,16.9,-70,29.5,13.8,31,0,0,31,29,31,14.3,82.3,0.0,973.7,56,2.1,86,0.06
2020-07-30T07:30:00Z,2020-07-30T07:00:00Z,PT30M,17.2,-74,46.9,13.9,74,0,0,74,70,74,14.4,80.6,0.0,973.8,54,2.1,80,0.06
2020-07-30T08:00:00Z,2020-07-30T07:30:00Z,PT30M,17.9,-78,55.6,13.9,110,0,0,110,103,110,14.4,77.4,0.0,974.1,50,1.9,74,0.06
2020-07-30T08:30:00Z,2020-07-30T08:00:00Z,PT30M,18.8,-82,56.8,13.9,159,0,0,159,149,159,14.3,73.4,0.0,974.3,43,1.8,68,0.06
2020-07-30T09:00:00Z,2020-07-30T08:30:00Z,PT30M,19.7,-85,41.8,13.8,274,9,5,279,262,285,14.2,68.8,0.0,974.6,31,1.7,61,0.06
2020-07-30T09:30:00Z,2020-07-30T09:00:00Z,PT30M,20.5,-89,25.2,13.7,302,229,136,438,401,566,14.1,65.3,0.0,974.8,19,1.8,55,0.06
2020-07-30T10:00:00Z,2020-07-30T09:30:00Z,PT30M,21.1,-93,12.1,13.7,234,554,366,600,551,837,13.9,62.7,0.0,974.8,11,2.0,49,0.06
2020-07-30T10:30:00Z,2020-07-30T10:00:00Z,PT30M,21.5,-98,14.2,13.7,288,511,376,663,625,835,13.9,61.3,0.0,974.8,8,2.3,43,0.06
2020-07-30T11:00:00Z,2020-07-30T10:30:00Z,PT30M,21.7,-104,6.2,13.9,183,765,620,803,770,963,13.9,61.0,0.0,974.8,8,2.7,36,0.06
2020-07-30T11:30:00Z,2020-07-30T11:00:00Z,PT30M,21.9,-111,0.0,14.2,85,970,837,922,898,1049,14.3,61.6,0.0,974.8,6,3.2,30,0.06
2020-07-30T12:00:00Z,2020-07-30T11:30:00Z,PT30M,22.0,-120,5.9,14.7,201,789,714,916,899,981,15.0,63.0,0.0,974.8,4,3.8,25,0.06
2020-07-30T12:30:00Z,2020-07-30T12:00:00Z,PT30M,22.2,-133,33.5,15.0,557,122,114,671,640,679,15.5,63.9,0.0,974.8,6,4.0,20,0.06
